"Dist Code","Year","State Code","State Name","Dist Name","JANUARY MINIMUM (Centigrate)","FEBRUARY MINIMUM (Centigrate)","MARCH MINIMUM (Centigrate)","APRIL MINIMUM (Centigrate)","MAY MINIMUM (Centigrate)","JUNE MINIMUM (Centigrate)","JULY MINIMUM (Centigrate)","AUGUST MINIMUM (Centigrate)","SEPTEMBER MINIMUM (Centigrate)","OCTOBER MINIMUM (Centigrate)","NOVEMBER MINIMUM (Centigrate)","DECEMBER MINIMUM (Centigrate)"
"171","2010","9","Punjab","Ludhiana","4.46","9.44","16.15","21.62","24.74","26.77","26.5","26.3","23.32","18.39","10.59","5.89"
"171","2011","9","Punjab","Ludhiana","4.3","9.92","14.41","17.95","25.25","27.35","26.51","25.72","23.25","17.99","11.43","7.19"
"171","2012","9","Punjab","Ludhiana","5.72","9.17","14.22","18.38","23.99","28.37","27.5","25.6","23.22","17.44","10.64","7.31"
"171","2013","9","Punjab","Ludhiana","4.45","6.34","13.11","18.86","24.7","27.2","27.08","25.88","24.08","19.1","10.53","7.17"
"171","2014","9","Punjab","Ludhiana","6.35","8.68","12.83","17.66","22.68","27.96","27.71","26.19","22.54","17.95","10.72","6.3"
"171","2015","9","Punjab","Ludhiana","6.35","8.68","12.83","17.66","22.68","27.96","27.71","26.19","22.54","17.95","11.83","7.48"
"172","2000","9","Punjab","Ferozpur","5.3","7.28","12.94","19.89","25.89","26.9","26.66","26.38","23.41","18.09","11.54","6.51"
"172","2001","9","Punjab","Ferozpur","4.99","9.28","14.3","18.52","24.85","26.44","26.56","26.51","23.66","18.92","11.11","8.72"
"172","2002","9","Punjab","Ferozpur","5.34","8.07","13.63","20.25","24.2","27.01","27.05","27.69","23.81","18.75","11.76","8.11"
"172","2003","9","Punjab","Ferozpur","3.75","8.29","12.88","18.52","22.65","27.77","26.4","26.0","23.1","16.88","9.42","6.41"
"172","2004","9","Punjab","Ferozpur","5.78","7.92","15.12","19.97","22.78","26.25","27.3","25.45","22.87","16.44","10.18","6.39"
"172","2005","9","Punjab","Ferozpur","4.43","7.98","13.22","17.76","22.64","27.96","26.37","25.87","24.41","17.95","10.57","5.52"
"172","2006","9","Punjab","Ferozpur","6.87","11.38","13.33","20.11","25.34","26.46","26.85","27.14","23.13","19.12","12.37","6.88"
"172","2007","9","Punjab","Ferozpur","4.58","9.0","12.02","20.32","24.01","26.47","27.04","26.79","24.27","17.25","10.19","6.76"
"172","2008","9","Punjab","Ferozpur","6.35","6.28","15.35","17.43","23.77","27.02","27.43","25.68","23.76","18.54","10.53","7.31"
"172","2009","9","Punjab","Ferozpur","6.93","10.02","14.07","17.91","24.66","27.0","27.59","26.67","23.94","18.43","10.56","7.37"
"172","2010","9","Punjab","Ferozpur","4.43","9.01","16.34","21.49","24.67","27.04","26.94","26.79","23.86","19.05","10.83","5.88"
"172","2011","9","Punjab","Ferozpur","3.95","9.38","14.43","17.77","25.35","28.0","27.04","26.38","23.77","18.45","11.87","6.92"
