"Dist Code","Year","State Code","State Name","Dist Name","JANUARY MAXIMUM (Centigrate)","FEBRUARY MAXIMUM (Centigrate)","MARCH MAXIMUM (Centigrate)","APRIL MAXIMUM (Centigrate)","MAY MAXIMUM (Centigrate)","JUNE MAXIMUM (Centigrate)","JULY MAXIMUM (Centigrate)","AUGUST MAXIMUM (Centigrate)","SEPTEMBER MAXIMUM (Centigrate)","OCTOBER MAXIMUM (Centigrate)","NOVEMBER MAXIMUM (Centigrate)","DECEMBER MAXIMUM (Centigrate)"
"176","2003","9","Punjab","Patiala","19.86","23.29","29.05","36.61","38.44","39.45","33.47","32.62","32.86","32.24","26.78","21.79"
"176","2004","9","Punjab","Patiala","19.32","26.05","33.92","37.86","40.58","36.87","35.25","33.03","34.52","30.12","28.53","23.85"
"176","2005","9","Punjab","Patiala","18.94","21.83","30.22","35.04","37.49","39.48","33.74","34.84","32.65","31.53","27.75","21.23"
"176","2006","9","Punjab","Patiala","19.17","27.72","29.52","35.55","40.73","37.21","35.25","32.13","32.62","31.73","27.48","21.86"
"176","2007","9","Punjab","Patiala","20.65","23.97","29.37","38.27","38.61","38.91","34.54","33.8","32.84","31.97","29.38","21.01"
"176","2008","9","Punjab","Patiala","16.75","23.07","32.75","35.32","37.59","37.02","34.2","32.24","31.91","33.15","28.97","23.83"
"176","2009","9","Punjab","Patiala","20.4","24.93","30.89","36.64","39.74","39.32","34.79","34.43","32.76","31.95","26.99","22.57"
"176","2010","9","Punjab","Patiala","20.77","25.17","33.6","39.1","40.73","38.44","34.49","32.05","31.38","32.51","28.85","21.81"
"176","2011","9","Punjab","Patiala","18.44","23.17","30.44","34.56","40.5","37.04","34.24","32.62","32.52","31.99","29.86","22.86"
"176","2012","9","Punjab","Patiala","17.23","21.39","28.82","34.94","39.85","40.1","36.06","32.58","32.39","30.12","26.85","21.39"
"176","2013","9","Punjab","Patiala","18.72","24.15","29.46","35.3","40.63","38.17","34.45","32.18","32.63","32.14","26.84","22.43"
"176","2014","9","Punjab","Patiala","18.61","21.97","28.03","34.45","37.83","39.91","34.66","34.07","32.87","31.74","27.69","20.62"
"176","2015","9","Punjab","Patiala","18.32","24.05","27.95","35.23","39.7","36.88","32.95","32.51","33.59","32.43","27.66","22.07"
